buld_nm,승강기번호,주소,고장,고장일자,,sido,sigungu,buld_nm,,,,,,,,
로버트보쉬코리아(유),446-03536,경기도 용인시 기흥구 신수로 567 (보정동),Y,2014.4.23,,경기도,용인시,기흥구,,,,,,,,
유성푸르나임아파트,706-03398,대구광역시 수성구 수성로75길 16 (수성동1가),Y,2010.8.6,,대구광역시,수성구,수성로75길,,,,,,,,
유성푸르나임아파트,706-03402,대구광역시 수성구 수성로75길 16 (수성동1가),Y,2008.12.27,,대구광역시,수성구,수성로75길,,,,,,,,
유성푸르나임아파트,706-03402,대구광역시 수성구 수성로75길 16 (수성동1가),Y,2008.3.1,,대구광역시,수성구,수성로75길,,,,,,,,
우민늘사랑아파트,343-00686,충청남도 당진시 서해로 6216 (시곡동),Y,2010.7.20,,충청남도,당진시,서해로,,,,,,,,
우민늘사랑아파트,343-00691,충청남도 당진시 서해로 6216 (시곡동),Y,2013.11.8,,충청남도,당진시,서해로,,,,,,,,
동작상떼빌오피스텔상가,156-02339,서울특별시 동작구 신대방1가길 38 (신대방동),Y,2010.7.31,,서울특별시,동작구,신대방1가길,,,,,,,,
을지로동주민센터,100-05241,서울특별시 중구 충무로9길 19 (을지로3가),Y,2011.9.15,,서울특별시,중구,충무로9길,,,,,,,,
봉화산e-편한세상아파트,220-01990,"강원도 원주시 봉화로 67 (단계동, 봉화산이-편한세상)",Y,2016.2.16,,강원도,원주시,봉화로,,,,,,,,
봉화산e-편한세상아파트,220-01978,"강원도 원주시 봉화로 67 (단계동, 봉화산이-편한세상)",Y,2015.9.2,,강원도,원주시,봉화로,,,,,,,,
봉화산e-편한세상아파트,220-01988,"강원도 원주시 봉화로 67 (단계동, 봉화산이-편한세상)",Y,2016.3.29,,강원도,원주시,봉화로,,,,,,,,
봉화산e-편한세상아파트,220-01986,"강원도 원주시 봉화로 67 (단계동, 봉화산이-편한세상)",Y,2016.9.23,,강원도,원주시,봉화로,,,,,,,,
봉화산e-편한세상아파트,220-01990,"강원도 원주시 봉화로 67 (단계동, 봉화산이-편한세상)",Y,2016.8.16,,강원도,원주시,봉화로,,,,,,,,
봉화산e-편한세상아파트,220-01996,"강원도 원주시 봉화로 67 (단계동, 봉화산이-편한세상)",Y,2016.7.3,,강원도,원주시,봉화로,,,,,,,,
한국해양과학기술원 부설 선박해양플랜트연구소,305-03238,대전광역시 유성구 유성대로1312번길 32  (장동),Y,2010.9.14,,대전광역시,유성구,유성대로1312번길,,,,,,,,
로즈마리병원,702-03565,대구광역시 북구 팔거천동로 215 (동천동),Y,2016.3.19,,대구광역시,북구,팔거천동로,,,,,,,,
정진학원,361-03384,충청북도 청주시 서원구 예체로19번길 4 (개신동),Y,2011.9.15,,충청북도,청주시,서원구,,,,,,,,
흥해 오크팰리스,130-02782,서울특별시 동대문구 장한로10길 28 (장안동),Y,2011.9.15,,서울특별시,동대문구,장한로10길,,,,,,,,
대곡역신동아파밀리에아파트,711-00942,대구광역시 달성군 화원읍 비슬로539길 38 ,Y,2014.1.22,,대구광역시,달성군,화원읍,,,,,,,,
대곡역신동아파밀리에아파트,711-00940,대구광역시 달성군 화원읍 비슬로539길 38 ,Y,2008.6.11,,대구광역시,달성군,화원읍,,,,,,,,
아산친오애아파트,336-01945,충청남도 아산시 신창면 행목로 217 ,Y,2011.5.7,,충청남도,아산시,신창면,,,,,,,,
아산친오애아파트,336-01945,충청남도 아산시 신창면 행목로 217 ,Y,2011.1.22,,충청남도,아산시,신창면,,,,,,,,
행담도모텔,343-00696,충청남도 당진시 송악읍 부곡공단로 68-41 ,Y,2010.3.6,,충청남도,당진시,송악읍,,,,,,,,
코스타빌아파트,561-02331,전라북도 전주시 덕진구 추천1길 6 (팔복동2가),Y,2013.1.3,,전라북도,전주시,덕진구,,,,,,,,
