buld_nm,승강기번호,주소,고장,고장일자,sido,sigungu,buld_nm.1,real_number
경향파크아파트,122-00101,서울특별시 은평구 갈현로15길 53 (구산동),Y,2016.6.17,서울특별시,은평구,갈현로15길,0005418
경향파크아파트,122-00098,서울특별시 은평구 갈현로15길 53 (구산동),Y,2011.12.20,서울특별시,은평구,갈현로15길,0005418
경향파크아파트,122-00099,서울특별시 은평구 갈현로15길 53 (구산동),Y,2008.4.9,서울특별시,은평구,갈현로15길,0005418
정원시티빌,122-01188,서울특별시 은평구 갈현로1길 16-1 (신사동),Y,2014.8.18,서울특별시,은평구,갈현로1길,0050586
북한산힐스테이트7차(분양),122-03299,서울특별시 은평구 통일로 796 (불광동，북한산 힐스테이트 7차),Y,2014.8.25,서울특별시,은평구,통일로,0042221
북한산힐스테이트7차(분양),122-03363,서울특별시 은평구 통일로 796 (불광동，북한산 힐스테이트 7차),Y,2011.8.13,서울특별시,은평구,통일로,0042221
동익파크2차아파트,122-00148,"서울특별시 은평구 서오릉로23길 9-8 (구산동, 동익파크아파트)",Y,2013.4.20,서울특별시,은평구,서오릉로23길,0084943
영진빌딩,122-00161,서울특별시 은평구 연서로 137 (구산동),Y,2011.2.16,서울특별시,은평구,연서로,0074076
로얄빌딩,122-00381,서울특별시 은평구 통일로 863-13 (갈현동),Y,2016.8.6,서울특별시,은평구,통일로,0007328
로얄빌딩,122-00381,서울특별시 은평구 통일로 863-13 (갈현동),Y,2016.7.4,서울특별시,은평구,통일로,0007328
로얄빌딩,122-00381,서울특별시 은평구 통일로 863-13 (갈현동),Y,2014.9.5,서울특별시,은평구,통일로,0007328
로얄빌딩,122-00381,서울특별시 은평구 통일로 863-13 (갈현동),Y,2010.9.27,서울특별시,은평구,통일로,0007328
서부병원,122-01731,서울특별시 은평구 은평로 133 (응암동),Y,2014.6.2,서울특별시,은평구,은평로,0015405
경진빌딩,122-03280,서울특별시 은평구 은평로11길 11-2 (녹번동),Y,2010.9.30,서울특별시,은평구,은평로11길,0039143
수색동새마을금고,122-01111,서울특별시 은평구 증산서길 103 (증산동),Y,2013.1.8,서울특별시,은평구,증산서길,A
(주)녹번해명,122-00138,서울특별시 은평구 은평로13길 12-1 해명빌딩 (녹번동),Y,2013.3.29,서울특별시,은평구,은평로13길,0104893
(주)녹번해명,122-00138,서울특별시 은평구 은평로13길 12-1 해명빌딩 (녹번동),Y,2011.4.5,서울특별시,은평구,은평로13길,0104893
(주)녹번해명,122-00138,서울특별시 은평구 은평로13길 12-1 해명빌딩 (녹번동),Y,2013.1.18,서울특별시,은평구,은평로13길,0104893
(주)녹번해명,122-00138,서울특별시 은평구 은평로13길 12-1 해명빌딩 (녹번동),Y,2012.3.27,서울특별시,은평구,은평로13길,0104893
제일프라자,122-01315,서울특별시 은평구 갈현로 82 (역촌동),Y,2011.8.22,서울특별시,은평구,갈현로,0038520
보성리엔빌,122-02501,서울특별시 은평구 진흥로9길 3-7 (역촌동),Y,2010.7.14,서울특별시,은평구,진흥로9길,0006180
하나님의교회,122-03272,서울특별시 은평구 진관1로 77-11 (진관동),Y,2014.9.21,서울특별시,은평구,진관1로,0041360
은평뉴타운 제각말 5-2관리소,122-02681,서울특별시 은평구 연서로48길 11 (진관동),Y,2014.9.16,서울특별시,은평구,연서로48길,0042081
뉴아름빌,122-03658,서울특별시 은평구 갈현로21길 9 (갈현동),Y,2012.8.6,서울특별시,은평구,갈현로21길,0050383
증산동중앙하이츠아파트,122-00792,서울특별시 은평구 증산로 285 (증산동，증산중앙하이츠아파트),Y,2014.6.7,서울특별시,은평구,증산로,0002550
증산동중앙하이츠아파트,122-00792,서울특별시 은평구 증산로 285 (증산동，증산중앙하이츠아파트),Y,2012.7.8,서울특별시,은평구,증산로,0002550
대조삼성타운아파트,122-00409,서울특별시 은평구 서오릉로 94 (대조동),Y,2013.5.5,서울특별시,은평구,서오릉로,0069931
대조삼성타운아파트,122-00411,서울특별시 은평구 서오릉로 94 (대조동),Y,2012.1.14,서울특별시,은평구,서오릉로,0069931
파레제페빌딩,122-01813,서울특별시 은평구 통일로 830 (불광동),Y,2011.8.11,서울특별시,은평구,통일로,0015475
한신휴플러스아파트,122-01231,서울특별시 은평구 갈현로1길 31 (신사동),Y,2008.4.5,서울특별시,은평구,갈현로1길,0038286
한신휴플러스아파트,122-01232,서울특별시 은평구 갈현로1길 31 (신사동),Y,2008.2.7,서울특별시,은평구,갈현로1길,0038286
한신휴플러스아파트,122-01231,서울특별시 은평구 갈현로1길 31 (신사동),Y,2008.4.5,서울특별시,은평구,갈현로1길,0038286
쉴모텔,122-01043,서울특별시 은평구 통일로82길 6 (불광동),Y,2014.7.9,서울특별시,은평구,통일로82길,0069635
쉴모텔,122-01043,서울특별시 은평구 통일로82길 6 (불광동),Y,2012.10.3,서울특별시,은평구,통일로82길,0069635
한성교회,122-01917,서울특별시 은평구 응암로20길 23 (응암동),Y,2011.12.25,서울특별시,은평구,응암로20길,0084095
예일여자고등학교,122-00937,서울특별시 은평구 연서로 117 (구산동),Y,2014.7.10,서울특별시,은평구,연서로,1902164
은평뉴타운상림마을(14단지),122-02256,서울특별시 은평구 진관4로 48-51 (진관동),Y,2013.8.6,서울특별시,은평구,진관4로,0039652
디지털미디어시티역(DMC역),122-02736,서울특별시 은평구 수색로 193 (수색동),Y,2010.10.16,서울특별시,은평구,수색로,A
디지털미디어시티역(DMC역),122-02740,서울특별시 은평구 수색로 193 (수색동),Y,2010.8.5,서울특별시,은평구,수색로,A
디지털미디어시티역(DMC역),122-02736,서울특별시 은평구 수색로 193 (수색동),Y,2011.3.2,서울특별시,은평구,수색로,A
디지털미디어시티역(DMC역),122-02736,서울특별시 은평구 수색로 193 (수색동),Y,2011.11.23,서울특별시,은평구,수색로,A
디지털미디어시티역(DMC역),122-02737,서울특별시 은평구 수색로 193 (수색동),Y,2011.11.3,서울특별시,은평구,수색로,A
갈현동한솔아파트,122-00399,서울특별시 은평구 갈현로23길 41 (갈현동),Y,2012.9.14,서울특별시,은평구,갈현로23길,0070171
백련산힐스테이트2차,122-03579,서울특별시 은평구 백련산로 38 (응암동 백련산힐스테이트2차관리사무소),Y,2012.7.13,서울특별시,은평구,백련산로,0082713
이안쉐르빌,122-03250,서울특별시 은평구 가좌로9길 7-1 (응암동),Y,2012.1.13,서울특별시,은평구,가좌로9길,0041798
대주피오레아파트,122-01256,서울특별시 은평구 백련산로 6 (응암동),Y,2014.7.21,서울특별시,은평구,백련산로,0070142
풍성한알곡교회,122-00361,서울특별시 은평구 갈현로27길 14 (갈현동),Y,2012.2.11,서울특별시,은평구,갈현로27길,0005767
정승기정형외과,122-01937,서울특별시 은평구 통일로 710 (불광동),Y,2012.9.18,서울특별시,은평구,통일로,0040073
더수빌,122-03717,서울특별시 은평구 불광로 122-9 (불광동),Y,2012.3.10,서울특별시,은평구,불광로,0102202
더수빌,122-03717,서울특별시 은평구 불광로 122-9 (불광동),Y,2012.3.10,서울특별시,은평구,불광로,0102202
최원호병원,122-03518,서울특별시 은평구 서오릉로 45 (녹번동),Y,2012.10.17,서울특별시,은평구,서오릉로,0014971
충남빌딩,122-01289,서울특별시 은평구 연서로29길 8-15 (갈현동),Y,2012.7.27,서울특별시,은평구,연서로29길,0083270
경산빌딩,122-00066,서울특별시 은평구 통일로 897 (갈현동),Y,2010.6.14,서울특별시,은평구,통일로,0068830
신사미성아파트,122-00805,"서울특별시 은평구 증산로15길 35-8 , 관리사무소 (신사동)",Y,2013.5.11,서울특별시,은평구,증산로15길,0038582
정우빌딩,122-01251,서울특별시 은평구 증산로1길 17 (증산동),Y,2011.9.15,서울특별시,은평구,증산로1길,A
건우오피스텔,122-01069,서울특별시 은평구 은평로9길 8-1 (응암동),Y,2014.6.14,서울특별시,은평구,은평로9길,0082206
서광교회,122-02469,서울특별시 은평구 통일로 951 (갈현동),Y,2014.7.20,서울특별시,은평구,통일로,0083807
청구성심병원,122-03563,서울특별시 은평구 통일로 873 (갈현동),Y,2012.10.31,서울특별시,은평구,통일로,0006427
응암신동아아파트,122-01733,서울특별시 은평구 백련산로 127 (응암동),Y,2010.8.21,서울특별시,은평구,백련산로,0038259
동아빌딩,122-00157,서울특별시 은평구 은평로 97 (응암동),Y,2013.3.2,서울특별시,은평구,은평로,0050005
(주)메트로백화점,122-00594,서울특별시 은평구 통일로 856 (불광동),Y,2010.10.11,서울특별시,은평구,통일로,A
