buld_nm,승강기번호,주소,고장,고장일자,sido,sigungu,buld_nm.1,real_number
명남 더블레스,122-02734,서울특별시 은평구 은평로 182-8 (응암동),Y,2013.11.19,서울특별시,은평구,은평로,0050082
명남 더블레스,122-02734,서울특별시 은평구 은평로 182-8 (응암동),Y,2013.11.18,서울특별시,은평구,은평로,0050082
명남 더블레스,122-02734,서울특별시 은평구 은평로 182-8 (응암동),Y,2011.9.2,서울특별시,은평구,은평로,0050082
은빛초등학교,122-03329,서울특별시 은평구 진관3로 73-17 (진관동),Y,2014.7.22,서울특별시,은평구,진관3로,0103852
합도산업,122-00461,서울특별시 은평구 응암로22길 22-1 (응암동),Y,2014.7.28,서울특별시,은평구,응암로22길,0038788
합도산업,122-00461,서울특별시 은평구 응암로22길 22-1 (응암동),Y,2010.12.27,서울특별시,은평구,응암로22길,0038788
녹번대림아파트,122-00233,서울특별시 은평구 통일로 590 (녹번동),Y,2011.10.26,서울특별시,은평구,통일로,0084186
영성빌딩,122-00081,서울특별시 은평구 은평터널로 138 (신사동),Y,2013.3.31,서울특별시,은평구,은평터널로,0040402
영성빌딩,122-00081,서울특별시 은평구 은평터널로 138 (신사동),Y,2011.6.28,서울특별시,은평구,은평터널로,0040402
유니온빌딩,122-00059,서울특별시 은평구 증산로 325 (증산동),Y,2013.9.21,서울특별시,은평구,증산로,0082657
은혜스카이빌,122-01417,서울특별시 은평구 불광로13가길 7-3 (불광동),Y,2011.9.14,서울특별시,은평구,불광로13가길,0004990
역촌동자유의집,122-01800,서울특별시 은평구 역말로4길 15 (역촌동),Y,2012.7.10,서울특별시,은평구,역말로4길,0084806
역촌동자유의집,122-01800,서울특별시 은평구 역말로4길 15 (역촌동),Y,2012.5.13,서울특별시,은평구,역말로4길,0084806
갤럭시타운,122-04016,서울특별시 은평구 불광로 40-9 (불광동),Y,2014.6.11,서울특별시,은평구,불광로,0051591
동호스카이아파트,122-04007,서울특별시 은평구 연서로34길 42 (불광동),Y,2014.8.29,서울특별시,은평구,연서로34길,0081172
불광동롯데캐슬,122-04054,서울특별시 은평구 불광로 64 (불광동，불광 롯데캐슬),Y,2014.7.30,서울특별시,은평구,불광로,0073090
경준빌딩(대조리치빌2),122-04041,서울특별시 은평구 통일로 745-1 (대조동),Y,2013.4.2,서울특별시,은평구,통일로,0070448
상현빌딩,122-04171,서울특별시 은평구 은평로 170 (응암동),Y,2014.8.19,서울특별시,은평구,은평로,0088395
해들목휴먼빌,122-04271,"서울특별시 은평구 갈현로4길 43-12 (역촌동84-34,35)",Y,2015.8.14,서울특별시,은평구,갈현로4길,0068034
갈현동첼라넥스빌,122-04238,"서울특별시 은평구 갈현로31길 14-8 (갈현동, 첼라넥스빌)",Y,2015.7.12,서울특별시,은평구,갈현로31길,0104713
"더클래스 101,102동",122-04404,"서울특별시 은평구 서오릉로18길 25-4 (갈현동, 더 클래스)",Y,2014.9.10,서울특별시,은평구,서오릉로18길,0073664
엘림아너스빌,122-04526,서울특별시 은평구 은평터널로 192-8 (신사동),Y,2015.9.9,서울특별시,은평구,은평터널로,0118880
대림에코빌,122-04852,서울특별시 은평구 녹번로1길 23-9  (녹번동),Y,2016.9.27,서울특별시,은평구,녹번로1길,0089131
롯데몰 은평점,122-05222,서울특별시 은평구 통일로 1050  (진관동),Y,2017.7.2,서울특별시,은평구,통일로,1810409
