buld_nm,승강기번호,주소,고장,고장일자,sido,sigungu,buld_nm
갤럭시타운,122-04016,서울특별시 은평구 불광로 40-9 (불광동),Y,2014.6.11,서울특별시,은평구,불광로
동호스카이아파트,122-04007,서울특별시 은평구 연서로34길 42 (불광동),Y,2014.8.29,서울특별시,은평구,연서로34길
불광동롯데캐슬,122-04054,서울특별시 은평구 불광로 64 (불광동，불광 롯데캐슬),Y,2014.7.30,서울특별시,은평구,불광로
경준빌딩(대조리치빌2),122-04041,서울특별시 은평구 통일로 745-1 (대조동),Y,2013.4.2,서울특별시,은평구,통일로
상현빌딩,122-04171,서울특별시 은평구 은평로 170 (응암동),Y,2014.8.19,서울특별시,은평구,은평로
해들목휴먼빌,122-04271,"서울특별시 은평구 갈현로4길 43-12 (역촌동84-34,35)",Y,2015.8.14,서울특별시,은평구,갈현로4길
갈현동첼라넥스빌,122-04238,"서울특별시 은평구 갈현로31길 14-8 (갈현동, 첼라넥스빌)",Y,2015.7.12,서울특별시,은평구,갈현로31길
"더클래스 101,102동",122-04404,"서울특별시 은평구 서오릉로18길 25-4 (갈현동, 더 클래스)",Y,2014.9.10,서울특별시,은평구,서오릉로18길
엘림아너스빌,122-04526,서울특별시 은평구 은평터널로 192-8 (신사동),Y,2015.9.9,서울특별시,은평구,은평터널로
대림에코빌,122-04852,서울특별시 은평구 녹번로1길 23-9  (녹번동),Y,2016.9.27,서울특별시,은평구,녹번로1길
롯데몰 은평점,122-05222,서울특별시 은평구 통일로 1050  (진관동),Y,2017.7.2,서울특별시,은평구,통일로
